华银美景 2室1厅 83.42平米,近30天内成交,下载APP查看成交>,1**
华银美景 2室1厅 85平米,近30天内成交,下载APP查看成交>,1**
华银美景 3室1厅 96.38平米,2019.03.16,14215,137
华银美景 3室1厅 89.81平米,2019.03.13,14253,128
华银美景 3室2厅 84.09平米,2019.03.11,14723,123.8
华银美景 3室2厅 99.69平米,2019.01.23,9721,96.9
华银美景 2室2厅 75平米,2018.12.20,14367,107.8
华银美景 2室2厅 83.42平米,2018.10.21,14386,120
华银美景 3室1厅 89.18平米,2018.10.11,15923,142
华银美景 3室2厅 90平米,2018.09.23,14445,130
华银美景 2室2厅 86.06平米,2018.08.26,13712,118
华银美景 3室2厅 117.01平米,2018.06.13,15102,176.7
华银美景 3室2厅 90.06平米,2018.05.03,18433,166
华银美景 车位,2018.04.07,3548,10
华银美景 3室2厅 129.39平米,2018.04.07,15751,203.8
华银美景 车位,2018.03.18,1981,6
华银美景 2室2厅 79.27平米,2018.03.18,17283,137
华银美景 3室2厅 119.67平米,2018.03.18,16045,192
华银美景 3室2厅 90.1平米,2018.03.07,16926,152.5
华银美景 2室1厅 83.93平米,2018.03.05,16085,135
华银美景 2室2厅 79.34平米,2018.01.26,16965,134.6
华银美景 3室2厅 126平米,2017.12.25,13056,164.5
华银美景 2室2厅 84平米,2017.12.19,15477,130
华银美景 2室1厅 83平米,2017.11.13,14458,120
华银美景 3室2厅 89.18平米,2017.11.03,14578,130
华银美景 3室1厅 87.88平米,2017.11.02,15021,132
华银美景 2室2厅 68.47平米,2017.10.22,14605,100
华银美景 3室2厅 89.18平米,2017.09.29,14410,128.5
华银美景 2室2厅 86.06平米,2017.09.26,13619,117.2
华银美景 2室1厅 79.27平米,2017.09.21,14129,112
华银美景 3室1厅 79.27平米,2017.09.17,12805,101.5
华银美景 2室1厅 79.27平米,2017.09.15,14256,113
华银美景 2室2厅 84.3平米,2017.09.03,13049,110
华银美景 3室1厅 90.06平米,2017.08.29,13325,120
华银美景 3室2厅 89.8平米,2017.08.28,12584,113
华银美景 3室2厅 90.06平米,2017.08.24,13880,125
华银美景 2室2厅 85.99平米,2017.08.21,13025,112
华银美景 2室1厅 79.27平米,2017.08.17,11985,95
